1Ob2,18.0
2Lc1,63.89830508474576
1Ib1,16.636363636363633
1Aa1,64.25714285714287
4Oa2,10.789473684210527
4Lc2,59.0
4La1,44.0
3Ib2,45.0
2Nd5,48.0
4Ka2,240.471875
2Jb1,148.58249158249157
4La5,28.0
4Jd1,33.0
3Md1,11.0
3Id5,6.0
3Lb1,27.58181818181818
4Kc2,48.606557377049185
3Ld2,121.0
2Kb1,215.69811320754718
3Ka2,13.0
2Kc1,177.090395480226
2Nd1,77.0
4Jb2,40.0
3Ja1,203.33779264214047
4Ka5,12.0
2Lb1,86.3491124260355
1Ac1,42.26027397260275
3Ob2,8.333333333333332
4Kb5,10.0
3Gd1,30.133333333333333
3La2,47.0
4Kb1,12.0
3Na5,15.066666666666666
2Od1,32.0
2Ob1,6.0
3Kb1,195.0
1Oc1,15.0
3La1,97.0
2Ed1,15.266666666666666
2Bc1,170.61417322834646
3Mc2,29.0
4Ja2,67.0
2Lc2,87.0
4Bb1,14.0
3Cb1,96.01041666666667
3Jc1,135.03125
2Gc2,24.857142857142858
3Ic5,2.5999999999999996
3Bb1,141.0343137254902
4La2,49.0
3Cc1,120.0
2Ma2,61.61538461538461
4Jb1,27.0
2Mb1,48.0
3Ld1,5.0
2Fd5,27.925925925925924
4Od2,12.333333333333336
2Hb5,6.538461538461538
4Bc1,10.0
3Bc2,6.0
2Cc1,125.0
1Bb1,89.10112359550563
4Ja1,20.0
2Ka2,7.0
3Ja2,246.0851370851371
1Fb2,13.0
4Db1,24.0
3Bc1,164.15274949083502
3Ad2,9.0
4Kd1,33.6865671641791
2Ja2,213.0
3Kc1,157.0
2Aa5,19.230769230769234
3Jd1,314.0
2La2,63.0
1Ha1,6.846153846153847
2Nb1,67.0
3Fc1,20.51219512195122
4Ja5,2.0
4Kb2,37.44776119402985
3Hc2,10.100000000000001
4Fa2,8.666666666666668
2Kb2,240.0
3Ka1,147.76525821596243
4Ka1,10.0
3Nd2,125.0
4Bd1,48.33333333333333
4Na1,32.16129032258065
4Md2,29.0
3Ka5,13.0
3Ja5,43.0
2Bb1,115.23636363636365
3Lb2,139.0
3Lc1,101.0
3Ac1,37.0
2Nb2,56.0
3Jb1,80.0
3Da1,66.02941176470588
2Jc5,4.25
